param n:= 25;
param m:= 25;
param a:= 1;
param B:= 1000000;

param dem:=

1	495434
2	495434
3	495434
4	495434
5	495434
6	18031
7	18031
8	18031
9	18031
10	18031
11	17363
12	17363
13	17363
14	17363
15	17363
16	17363
17	17363
18	4169
19	4169
20	4169
21	4169
22	18031
23	18031
24	18031
25	18031;

param dem_pen:=

1	1.00
2	1.00
3	1.00
4	1.00
5	1.00
6	0.50
7	0.50
8	0.50
9	0.50
10	0.50
11	0.70
12	0.70
13	0.70
14	0.70
15	0.70
16	0.70
17	0.70
18	0.30
19	0.30
20	0.30
21	0.30
22	0.50
23	0.50
24	0.50
25	0.50;

param dgpower:=

1	5000000
2	5000000
3	5000000
4	5000000
5	5000000
6	1000000
7	1000000
8	1000000
9	1000000
10	1000000
11	5000000
12	5000000
13	5000000
14	5000000
15	5000000
16	5000000
17	5000000
18	500000
19	500000
20	500000
21	500000
22	1000000
23	1000000
24	1000000
25	1000000;


param dgcap:=

1	1351248
2	1351248
3	1351248
4	1351248
5	1351248
6	270250
7	270250
8	270250
9	270250
10	270250
11	1351248
12	1351248
13	1351248
14	1351248
15	1351248
16	1351248
17	1351248
18	135125
19	135125
20	135125
21	135125
22	270250
23	270250
24	270250
25	270250;

param dgcos_open:=

1	1.36
2	1.36
3	1.36
4	1.36
5	1.36
6	1.72
7	1.72
8	1.72
9	1.72
10	1.72
11	1.36
12	1.36
13	1.36
14	1.36
15	1.36
16	1.36
17	1.36
18	1.75
19	1.75
20	1.75
21	1.75
22	1.72
23	1.72
24	1.72
25	1.72;

param dgcos_gen:=
1	0.54
2	0.54
3	0.54
4	0.54
5	0.54
6	0.69
7	0.69
8	0.69
9	0.69
10	0.69
11	0.54
12	0.54
13	0.54
14	0.54
15	0.54
16	0.54
17	0.54
18	0.70
19	0.70
20	0.70
21	0.70
22	0.69
23	0.69
24	0.69
25	0.69;

param dg_pen:=

1	1.09
2	1.09
3	1.09
4	1.09
5	1.09
6	1.38
7	1.38
8	1.38
9	1.38
10	1.38
11	1.09
12	1.09
13	1.09
14	1.09
15	1.09
16	1.09
17	1.09
18	1.40
19	1.40
20	1.40
21	1.40
22	1.38
23	1.38
24	1.38
25	1.38;

param dis:

	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	:=

1	0.000	1.011	8.072	1.536	2.949	3.130	2.364	2.741	4.157	4.340	2.008	6.442	2.119	0.827	4.832	6.612	6.326	0.828	3.428	4.897	4.266	2.256	1.572	1.643	1.158
2	1.011	0.000	7.346	0.532	3.114	2.270	1.358	1.939	3.945	4.403	1.113	6.056	2.209	0.194	4.689	7.154	6.001	0.184	3.943	4.470	3.298	1.664	1.005	1.252	0.813
3	8.072	7.346	0.000	6.917	6.493	7.482	6.363	5.407	4.900	11.294	6.248	3.179	9.397	7.435	4.906	9.242	3.585	7.462	7.741	3.733	6.704	8.167	7.956	8.269	8.052
4	1.536	0.532	6.917	0.000	3.223	1.967	0.829	1.528	3.826	4.627	0.679	5.810	2.519	0.709	4.591	7.389	5.787	0.710	4.200	4.220	2.853	1.648	1.131	1.437	1.137
5	2.949	3.114	6.493	3.223	0.000	5.163	3.643	2.820	1.663	7.287	2.939	4.022	5.054	3.007	2.095	4.280	3.789	3.046	1.398	2.782	5.757	4.776	4.115	4.330	3.836
6	3.130	2.270	7.482	1.967	5.163	0.000	1.619	2.820	5.516	3.905	2.273	7.151	2.589	2.452	6.290	9.356	7.215	2.426	6.165	5.621	1.363	1.159	1.629	1.744	2.050
7	2.364	1.358	6.363	0.829	3.643	1.619	0.000	1.228	3.898	4.974	0.705	5.619	3.049	1.538	4.672	7.903	5.653	1.538	4.775	4.058	2.160	1.840	1.610	1.917	1.795
8	2.741	1.939	5.407	1.528	2.820	2.820	1.228	0.000	2.730	6.108	0.850	4.397	4.045	2.036	3.498	7.082	4.425	2.061	4.125	2.830	3.034	3.012	2.630	2.943	2.663
9	4.157	3.945	4.900	3.826	1.663	5.516	3.898	2.730	0.000	8.339	3.286	2.387	6.115	3.911	0.775	4.910	2.201	3.950	2.841	1.168	5.721	5.473	4.913	5.189	4.753
10	4.340	4.403	11.294	4.627	7.287	3.905	4.974	6.108	8.339	0.000	5.286	10.435	2.239	4.428	9.069	10.689	10.397	4.389	7.645	8.844	5.079	3.137	3.496	3.193	3.590
11	2.008	1.113	6.248	0.679	2.939	2.273	0.705	0.850	3.286	5.286	0.000	5.168	3.198	1.236	4.060	7.198	5.164	1.254	4.081	3.582	2.851	2.235	1.794	2.105	1.814
12	6.442	6.056	3.179	5.810	4.022	7.151	5.619	4.397	2.387	10.435	5.168	0.000	8.266	6.065	2.016	6.078	0.406	6.101	5.004	1.590	6.942	7.397	6.941	7.242	6.866
13	2.119	2.209	9.397	2.519	5.054	2.589	3.049	4.045	6.115	2.239	3.198	8.266	0.000	2.211	6.837	8.630	8.205	2.173	5.501	6.679	3.952	1.454	1.442	1.132	1.404
14	0.827	0.194	7.435	0.709	3.007	2.452	1.538	2.036	3.911	4.428	1.236	6.065	2.211	0.000	4.644	7.002	5.996	0.040	3.789	4.483	3.491	1.793	1.112	1.328	0.851
15	4.832	4.689	4.906	4.591	2.095	6.290	4.672	3.498	0.775	9.069	4.060	2.016	6.837	4.644	0.000	4.509	1.727	4.684	2.988	1.384	6.469	6.238	5.667	5.937	5.492
16	6.612	7.154	9.242	7.389	4.280	9.356	7.903	7.082	4.910	10.689	7.198	6.078	8.630	7.002	4.509	0.000	5.677	7.036	3.213	5.888	10.034	8.783	8.086	8.228	7.723
17	6.326	6.001	3.585	5.787	3.789	7.215	5.653	4.425	2.201	10.397	5.164	0.406	8.205	5.996	1.727	5.677	0.000	6.034	4.700	1.596	7.082	7.398	6.913	7.208	6.813
18	0.828	0.184	7.462	0.710	3.046	2.426	1.538	2.061	3.950	4.389	1.254	6.101	2.173	0.040	4.684	7.036	6.034	0.000	3.823	4.519	3.476	1.756	1.074	1.288	0.811
19	3.428	3.943	7.741	4.200	1.398	6.165	4.775	4.125	2.841	7.645	4.081	5.004	5.501	3.789	2.988	3.213	4.700	3.823	0.000	4.009	6.931	5.570	4.874	5.023	4.517
20	4.897	4.470	3.733	4.220	2.782	5.621	4.058	2.830	1.168	8.844	3.582	1.590	6.679	4.483	1.384	5.888	1.596	4.519	4.009	0.000	5.542	5.815	5.351	5.652	5.278
21	4.266	3.298	6.704	2.853	5.757	1.363	2.160	3.034	5.721	5.079	2.851	6.942	3.952	3.491	6.469	10.034	7.082	3.476	6.931	5.542	0.000	2.519	2.903	3.069	3.299
22	2.256	1.664	8.167	1.648	4.776	1.159	1.840	3.012	5.473	3.137	2.235	7.397	1.454	1.793	6.238	8.783	7.398	1.756	5.570	5.815	2.519	0.000	0.698	0.653	1.098
23	1.572	1.005	7.956	1.131	4.115	1.629	1.610	2.630	4.913	3.496	1.794	6.941	1.442	1.112	5.667	8.086	6.913	1.074	4.874	5.351	2.903	0.698	0.000	0.314	0.428
24	1.643	1.252	8.269	1.437	4.330	1.744	1.917	2.943	5.189	3.193	2.105	7.242	1.132	1.328	5.937	8.228	7.208	1.288	5.023	5.652	3.069	0.653	0.314	0.000	0.507
25	1.158	0.813	8.052	1.137	3.836	2.050	1.795	2.663	4.753	3.590	1.814	6.866	1.404	0.851	5.492	7.723	6.813	0.811	4.517	5.278	3.299	1.098	0.428	0.507	0.000;
